ENGLISH	NMT	HINDI	SCORE
© Content Owned by Ministry of External Affairs, Government of India.	© विदेश मंत्रालय, भारत सरकार के स्वामित्व वाली सामग्री	© विदेश मंत्रालय, भारत सरकार द्वारा स्वामित्व सामग्री.	0.7071067811865475
Interview of President by Kantipur and Kathmandu Post	कान्तिपुर और काठमांडू उपत्यका के राष्ट्रपति का साक्षात्कार	कान्तिपुर और काठमांडू पोस्ट द्वारा राष्ट्रपति का साक्षात्कार	0.7499999999999999
Interview of President with New ERA of Namibia	नामीबिया के नए युग के साथ राष्ट्रपति का साक्षात्कार	नामीबिया के नए युग के साथ राष्ट्रपति का साक्षात्कार	1.0
Interview of President by Mr. Hamish Fletcher, Associate Business Editor of New Zealand Herald	न्यूजीलैंड हेराल्ड के एसोसिएट बिजनेस संपादक श्री हामिश फ्लेचर, द्वारा राष्ट्रपति का साक्षात्कार	श्री हामिश फ्लेचर, न्यूजीलैंड हेराल्ड के एसोसिएट बिजनेस एडिटर द्वारा राष्ट्रपति का साक्षात्कार	0.9230769230769232
Prime Minister's interaction with African journalists at the Editors Forum for 3rd India-Africa Forum Summit	तृतीय भारत - अफ्रीका मंच शिखर सम्मेलन के लिए संपादक मंच पर अफ्रीकी पत्रकारों के साथ प्रधानमंत्री की बातचीत	तीसरी भारत – अफ्रीका मंच शिखर बैठक के लिए संपादक मंच में अफ्रीका के पत्रकारों के साथ प्रधानमंत्री की बातचीत	0.799456337008225
Transcript of TV interview of the President of India, Shri Pranab Mukherjee by TASS News Agency on the eve of his visit to Russia	रूस की यात्रा से पूर्व ताशस समाचार एजेंसी द्वारा भारत के राष्ट्रपति श्री प्रणब मुखर्जी के टीवी साक्षात्कार की प्रतिलिपि	रूस की उनकी यात्रा की पूर्व संध्‍या पर तास समाचार एजेंसी द्वारा भारत के राष्‍ट्रपति श्री प्रणब मुखर्जी के टीवी साक्षात्‍कार का पूर्ण प्रतिलेखन	0.7329409123199365
Official Spokesperson’s response to queries on the comments made by the Chinese Ambassador to India on a trilateral Summit between India, China and Pakistan	भारत, चीन और पाकिस्तान के बीच त्रिवेंद्रम शिखर सम्मेलन में चीनी राजदूत द्वारा भारत में की गई टिप्पणियों पर प्रश्नों के संबंध में आधिकारिक प्रवक्ता की प्रतिक्रिया	भारत, चीन और पाकिस्तान के बीच एक त्रिपक्षीय शिखर सम्मेलन के संबंध में भारत स्थित चीनी राजदूत द्वारा की गई टिप्पणियों पर पूछताछ पर सरकारी प्रवक्ता की प्रतिक्रिया	0.8176316179301714
Official Spokesperson’s response to a question from media about ceasefire announced by President Ghani of Afghanistan	अफगानिस्तान के राष्ट्रपति घानी द्वारा युद्धविराम की घोषणा के बारे में मीडिया से एक प्रश्न का आधिकारिक प्रवक्ता	अफगानिस्तान के राष्ट्रपति घनी द्वारा घोषित युद्धविराम के बारे में मीडिया से एक प्रश्न पर सरकारी प्रवक्ता की प्रतिक्रिया	0.7807200583588266
QUESTION NO.4336 PROTOCOL ON INLAND WATER TRANSIT AND TRADE BETWEEN INDIA AND BANGLADESH	प्रश्न सं. 4336 भारत और बांग्लादेश के बीच अंतर्देशीय जल परिवहन और व्यापार पर प्रोटोकॉल	प्रश्‍न संख्‍या 4336 भारत और बांग्लादेश के बीच अंतर्देशीय जल पारगमन और व्यापार संबंधी नयाचार	0.7058823529411765
QUESTION NO.4338 EXTRADITION REQUESTS PENDING WITH GOVERNMENT	प्रश्न सं. 4338 प्रत्यर्पण अनुरोध सरकार के साथ लंबित	प्रश्न संख्या 4338 सरकार के पास लंबित प्रत्यर्पण संबंधी अनुरोध	0.7378647873726218
QUESTION NO.4333 INDIAN POLICY ON NEIGHBOURING COUNTRIES	प्रश्न सं. 4333 पड़ोसी देशों पर भारतीय नीति	प्रश्न संख्या 4333 पड़ोसी देशों के संबंध में भारतीय नीति	0.6708203932499369
QUESTION NO.4340 CONTRIBUTION TO UN PEACE KEEPING MISSIONS	प्रश्न सं. 4340 संयुक्त राष्ट्र शांति मिशन में योगदान	प्रश्न संख्या 4340 संयुक्त राष्ट्रव शांति व्यकवस्थात मिशन में योगदान	0.7378647873726218
Parliament Q & ALok SabhaRajya SabhaGuidelines and Procedure	संसदीय प्रश्न और एलोक सभाराज्य सभागाइडलाइन्स और प्रक्रिया	संसदीय प्रश्न एवं उत्तरलोक सभाराज्य सभादिशानिर्देश और प्रक्रिया	0.6708203932499369
MEA | Statements : Speeches & Statements	एम.ई.ए.. वक्तव्य: भाषण और वक्तव्य	भाषण और वक्तव्य	0.7745966692414834
Translation of Prime Minister's Press Statement during the State Visit of President of Seychelles to India	सेशल्स के राष्ट्रपति की भारत यात्रा के दौरान प्रधानमंत्री के प्रेस वक्तव्य का अनुवाद	कोरिया गणराज्य के राष्ट्रपति की भारत यात्रा के दौरान प्रधानमंत्री द्वारा प्रेस वक्तव्य	0.808290376865476
