ENGLISH	NMT	HINDI	SCORE
Presidents of IndiaVice-Presidents of IndiaPrime Ministers of IndiaChief Justices of IndiaChief Election Commissioners of IndiaSahitya Akademi AwardsSangeet Natak Akademi Puraskar (Akademi Awards)Nobel LaureatesCivilian Awards Bharat RatnaPadma VibhushanPadma BhushanPadma ShriChairmen of UPSCCommanders-in-ChiefChiefs of Army StaffChiefs of Naval StaffChiefs of Air StaffLength of some important Indian RiversList of State-wise National Highways in IndiaGallantry AwardsParam Vir Chakra (PVC) Profile	भारत के राष्ट्रपति - भारत के राष्ट्रपतियों - भारत सरकार के राष्ट्रपति भारतचीफ चुनाव आयुक्तों के भारतचीफ न्यायाधीशों के राष्ट्रपति, भारत साहित्य अकादमी पुरस्कार, नाटक अकादमी पुरस्कार ( अकादमी पुरस्कार ) नोबेल पुरस्कार विजेता अखिल भारतीय नदियों की कुछ महत्वपूर्ण भारतीय नदियों में से कुछ महत्वपूर्ण भारतीय राष्ट्रीय राजमार्गों की सूची में से भारत रत्नपदम विभूषण पद्म भूषणपादमा भी शामिल है, जो यू. एस. सी. कॉमंडेंडर्स - इन चीफचिफ आफ आर्मी स्टिचेफ के प्रधान सेनापति हैं।	भारत के राष्ट्रपतिभारत के उप -राष्ट्रपतिभारत के प्रधानमंत्रीभारत के मुख्य न्यायाधीशभारत के मुख्य निर्वाचन आयुक्तसाहित्य अकादमी पुरस्कारसंगीत नाटक अकादमी पुरस्कार (अकादमी पुरस्कार)नोबेल पुरस्कार विजेतानागरिक पुरस्कार भारत रत्‍नपदम विभूषणपदम भूषणपदम श्रीसंघ लोक सेवा आयोग के अध्यक्षकमांडर- इन- चीफथलसेना अध्यक्षनौसेना अध्यक्षवायुसेना अध्यक्षभारत की कुछ प्रमुख नदियांदेश में राज्यवार राजमार्गों की सूचीशूरवीरता सम्‍मानपरम वीर चक्र (पीवीसी) संक्षिप्त विवरण	0.553843046354409
Indian History Ancient HistoryMedieval HistoryFreedom StruggleOrganisations Engaged in Cultural ActivitiesMonumentsPeople and Lifestyle Lifestyle, Values and BeliefsEthnicity of IndiaFestivalsNational AcademiesVisual Arts and Literature LiteratureFolk and Tribal ArtHandicraftsMass MediaPerforming ArtsSchemes, Scholarships and Fellowships States/UTs	भारतीय इतिहास का प्राचीन इतिहास, प्राचीन इतिहास - कालीन संघर्ष, सांस्कृतिक गतिविधियों, व्यक्तियों और जीवन शैली, भारत की मान्यताओं, राष्ट्रीय शैक्षिक कलाओं, साहित्य और जनजातीय कला - शिल्पों, छात्रवृत्तियों और फैलोशिप राज्यों / केंद्रशासित प्रदेशों को प्रभावित करता है।	भारत का इतिहास प्राचीन इतिहासमध्‍यकालीन इतिहासस्‍वतंत्रता संग्रामस्‍मारकलोग और जीवनशैली जीवन शैली, मूल्‍य और मान्‍यताएंभारत की मानवजातीयतात्‍योहारसांस्कृतिक गतिविधियों में संलग्न संगठनराष्ट्रीय अकादमीसाहित्‍य, कला और हस्‍तशिल्‍प साहित्‍यलोक और जनजातीय कलाहस्‍तकलामास मीडियामंचन कलाएंछात्रवृत्ति और फेलोशिप विभाग राज्य/संघ राज्य क्षेत्र	0.48651277256732783
India is one of the oldest civilizations in the world with a kaleidoscopic variety and rich cultural heritage. It has achieved all-round socio-economic progress since Independence. As the 7th largest country in the world, India stands apart from the rest of Asia, marked off as it is by mountains and the sea, which give the country a distinct geographical entity. Bounded by the Great Himalayas in the north, it stretches southwards and at the Tropic of Cancer, tapers off into the Indian Ocean between the Bay of Bengal on the east and the Arabian Sea on the west.	भारत विश्व की सबसे प्राचीन सभ्यताओं में से एक है, जिसमें बहुरंगी विविधता और समृद्ध सांस्कृतिक विरासत है। इसने स्वतंत्रता के बाद से समग्र सामाजिक - आर्थिक प्रगति हासिल की है। विश्व का सातवां सबसे बड़ा देश होने के नाते, भारत शेष एशिया से अलग है, जैसा कि पहाड़ों और समुद्र के कारण है, जो देश को एक विशिष्ट भौगोलिक इकाई देता है। उत्तर में बृहत हिमालय से घिरा यह दक्षिण की ओर और कैंसर की ट्रॉपिका में विस्तारित है तथा पूर्व में बंगाल की खाड़ी तथा पश्चिम में अरब सागर के मध्य हिंद महासागर में समा जाता है।	भारत विश्‍व की सबसे पुरानी सभ्यताओं में से एक है जिसमें बहुरंगी विविधता और समृद्ध सांस्‍कृतिक विरासत है। इसके साथ ही यह अपने-आप को बदलते समय के साथ ढ़ालती भी आई है। आज़ादी पाने के बाद भारत ने बहुआयामी सामाजिक और आर्थिक प्रगति की है। भारत कृषि में आत्‍मनिर्भर बन चुका है और अब दुनिया के सबसे औद्योगीकृत देशों की श्रेणी में भी इसकी गिनती की जाती है। विश्‍व का सातवां बड़ा देश होने के नाते भारत शेष एशिया से अलग दिखता है जिसकी विशेषता पर्वत और समुद्र ने तय की है और ये इसे विशिष्‍ट भौगोलिक पहचान देते हैं। उत्तर में बृहत् पर्वत श्रृंखला हिमालय से घिरा यह कर्क रेखा से आगे संकरा होता जाता है। पूर्व में बंगाल की खाड़ी, पश्चिम में अरब सागर तथा दक्षिण में हिन्‍द महासागर इसकी सीमा निर्धारित करते हैं।	0.7572926867809998
Culture And Heritage - Monuments - Know India: National Portal of India	संस्कृति और विरासत - स्मारक - भारत को जान: भारतीय राष्ट्रीय पोर्टल	संस्‍कृति और विरासत - स्‍मारक - भारत के बारे में जानें: भारत का राष्ट्रीय पोर्टल	0.6131393394849657
Mahabodhi Temple Complex at Bodh Gaya	बोध गया में माहाबोधी मंदिर परिसर	महाबोधि मंदिर संकुल, बोध गया	0.5477225575051661
The magnificent tiger, Panthera tigris is a striped animal. It has a thick yellow coat of fur with dark stripes. The combination of grace, strength, agility and enormous power has earned the tiger its pride of place as the national animal of India. Out of eight races of the species known, the Indian race, the Royal Bengal Tiger, is found throughout the country except in the north-western region and also in the neighbouring countries, Nepal, Bhutan and Bangladesh. To check the dwindling population of tigers in India, 'Project Tiger' was launched in April 1973. So far, 27 tiger reserves have been established in the country under this project, covering an area of 37,761 sq km.	यहां का भव्य बाघ, पेंथेरा टिग्रिस एक पट्टीदार जानवर है। इसका रंग गहरा पीला होता है और गहरी धारियां होती हैं। अनुग्रह, शक्ति, चुस्ती और विशाल शक्ति के संयोजन से बाघ को भारत के राष्ट्रीय पशु के रूप में अपना गौरव प्राप्त हुआ है। ज्ञात प्रजातियों की आठ प्रजातियों में से, भारतीय रेस, रॉयल बंगाल बाघ, उत्तरी - पश्चिमी क्षेत्र और पड़ोसी देशों, नेपाल, भूटान और बांग्लादेश को छोड़कर पूरे देश में पाया जाता है। भारत में बाघों की घटती जनसंख्या को रोकने के लिए अप्रैल, 1973 में प्रोजेक्ट टाइगर शुरू किया गया। अब तक देश में 37, 761 वर्ग कि. मी. क्षेत्र में 27 टाइगर रिजर्व स्थापित किए गए हैं।	राजसी बाघ, तेंदुआ टाइग्रिस धारीदार जानवर है। इसकी मोटी पीली लोमचर्म का कोट होता है जिस पर गहरी धारीदार पट्टियां होती हैं। लावण्‍यता, ताकत, फुर्तीलापन और अपार शक्ति के कारण बाघ को भारत के राष्‍ट्रीय जानवर के रूप में गौरवान्वित किया है। ज्ञात आठ किस्‍मों की प्रजाति में से शाही बंगाल टाइगर (बाघ) उत्‍तर पूर्वी क्षेत्रों को छोड़कर देश भर में पाया जाता है और पड़ोसी देशों में भी पाया जाता है, जैसे नेपाल, भूटान और बांग्‍लादेश। भारत में बाघों की घटती जनसंख्‍या की जांच करने के लिए अप्रैल 1973 में प्रोजेक्‍ट टाइगर (बाघ परियोजना) शुरू की गई। अब तक इस परियोजना के अधीन 27 बाघ के आरक्षित क्षेत्रों की स्‍थापना की गई है जिनमें 37, 761 वर्ग कि.मी. क्षेत्र शामिल है।	0.7007358164817846
Profile - Physical Features - Know India: National Portal of India	प्रोफाइल - भौतिक विशेषताएं - भारत को जान: भारतीय राष्ट्रीय पोर्टल	संक्षिप्त विवरण - प्राकृतिक संरचना - भारत के बारे में जानें: भारत का राष्ट्रीय पोर्टल	0.5090278103806222
The mainland comprises four regions, namely, the great mountain zone, plains of the Ganga and the Indus, the desert region and the southern peninsula.	मुख्य भूमि में चार क्षेत्र हैं, अर्थात महान पर्वतीय क्षेत्र, गंगा और सिंधु के मैदान, मरू क्षेत्र और दक्षिणी प्रायद्वीप।	मुख्य भूमि चार भागों में बंटी है - विस्तृत पर्वतीय प्रदेश, सिंधु और गंगा के मैदान, रेगिस्तान क्षेत्र और दक्षिणी प्रायद्वीप।	0.7235680511449365
The Himalayas comprise three almost parallel ranges interspersed with large plateaus and valleys, some of which, like the Kashmir and Kullu valleys, are fertile, extensive and of great scenic beauty. Some of the highest peaks in the world are found in these ranges. The high altitudes admit travel only to a few passes, notably the Jelep La and Nathu La on the main Indo-Tibet trade route through the Chumbi Valley, north-east of Darjeeling and Shipki La in the Satluj valley, north-east of Kalpa (Kinnaur). The mountain wall extends over a distance of about 2,400 km with a varying depth of 240 to 320 km. In the east, between India and Myanmar and India and Bangladesh, hill ranges are much lower. Garo, Khasi, Jaintia and Naga Hills, running almost east-west, join the chain to Mizo and Rkhine Hills running north-south.	हिमालय में तीन लगभग समानांतर पर्वत श्रृंखलाएं हैं, जिनके बीच बड़े पठार और घाटियां हैं, जिनमें से कुछ कश्मीर और कुल्लू की घाटियां भी उपजाऊ, विस्तृत और प्राकृतिक सुंदरता से भरपूर हैं। संसार की कुछ उच्चतम चोटियां इन पर्वतमालाओं में पाई जाती हैं। उच्च - तुगताएं केवल कुछ ही दर्रों की यात्राएं स्वीकार करती हैं, विशेष रूप से चुम्बी घाटी, दार्जिलिंग के उत्तर - पूर्व तथा कल्पा ( किन्नौर ) के उत्तर - पूर्वी सातलुज घाटी में शिपकी ला और नाथू दर्रे से होकर मुख्य भारत - तिब्बत व्यापार मार्ग पर जेलेप ला तथा % 2 पहाड़ी दीवार लगभग 2, 400 किमी. की दूरी पर फैला है और इसकी 240 से 320 किमी. तक चौड़ी है। पूर्व में भारत और म्यांमार और भारत और बांग्लादेश के बीच पहाड़ी श्रृंखलाएं बहुत कम हैं। लगभग पूर्व - पश्चिम दिशा में बहती गारो खासी, जयन्तिया और नगा पहाड़ियां उत्तर - दक्षिण में मिजो और र्कहिने पहाडियों में मिलती हैं।	हिमालय की तीन श्रृंखलाएं हैं, जो लगभग समानांतर फैली हुई हैं। इसके बीच बड़े - बड़े पठार और घाटियां हैं, इनमें कश्‍मीर और कुल्‍लू जैसी कुछ घाटियां उपजाऊ, विस्‍तृत और प्राकृतिक सौंदर्य से भरपूर हैं। संसार की सबसे ऊंची चोटियों में से कुछ इन्‍हीं पर्वत श्रृंखलाओं में हैं। अधिक ऊंचाई के कारण आना -जाना केवल कुछ ही दर्रों से हो पाता है, जिनमें मुख्‍य हैं - चुंबी घाटी से होते हुए मुख्‍य भारत-तिब्‍बत व्‍यापार मार्ग पर जेलप-ला और नाथू-ला दर्रे, उत्तर-पूर्व दार्जिलिंग तथा कल्‍पा (किन्‍नौर) के उत्तर - पूर्व में सतलुज घाटी में शिपकी-ला दर्रा। पर्वतीय दीवार लगभग 2,400 कि.मी. की दूरी तक फैली है, जो 240 कि.मी. से 320 कि.मी. तक चौड़ी है। पूर्व में भारत तथा म्‍यांमार और भारत एवं बांग्लादेश के बीच में पहाड़ी श्रृंखलाओं की ऊंचाई बहुत कम है। लगभग पूर्व से पश्चिम तक फैली हुई गारो, खासी, जैंतिया और नगा पहाडियां उत्तर से दक्षिण तक फैली मिज़ो तथा रखाइन पहाडि़यों की श्रृंखला से जा मिलती हैं।	0.748640897040268
The plains of the Ganga and the Indus, about 2,400 km long and 240 to 320 km broad, are formed by basins of three distinct river systems - the Indus, the Ganga and the Brahmaputra. They are one of the world's greatest stretches of flat alluvium and also one of the most densely populated areas on the earth. Between the Yamuna at Delhi and the Bay of Bengal, nearly 1,600 km away, there is a drop of only 200 metres in elevation.	गंगा और सिंधु का मैदान लगभग 2, 400 किमी. लंबा और 240 से 320 किमी. चौड़ा है, जो तीन अलग अलग नदी प्रणालियों - सिंधु, गंगा और ब्रह्मपुत्र के द्रोणियों द्वारा निर्मित है। ये विश्व के सबसे बड़े सपाट कछारी क्षेत्रों में से एक हैं और पृथ्वी पर सबसे घनी आबादी वाले स्थानों में से एक है। दिल्ली स्थित यमुना और बंगाल की खाड़ी के बीच लगभग 1600 किमी. की दूरी पर केवल 200 मीटर की ऊंचाई पर स्थित है।	सिंधु और गंगा के मैदान लगभग 2,400 कि.मी. लंबे और 240 से 320 कि.मी. तक चौड़े हैं। ये तीन अलग अलग नदी प्रणालियों - सिंधु, गंगा और ब्रह्मपुत्र के थालों से बने हैं। ये संसार के विशालतम सपाट कछारी विस्तारों और पृथ्वी पर बने सर्वाधिक घने क्षेत्रों में से एक हैं। दिल्ली में यमुना नदी और बंगाल की खाड़ी के बीच लगभग 1600 किमी की दूरी में केवल 200 मीटर की ढलान है।	0.7374118413588324
