ENGLISH	NMT	HINDI	SCORE
Government of Uttar Pradesh	उत्तर प्रदेश सरकार	उत्तर प्रदेश सरकार	1.0000000000000002
SKIP TO MAIN CONTENT	मुख्य सामग्री पर जाएँ	मुख्य पृष्ठ पर जाएं	0.5
Site Map	साइट मानचित्र	साइट मैप	0.4999999999999999
Allahabad	इलाहाबाद	इलाहाबाद	1.0
About District	जिले के बारे में	जिले के बारे में	1.0
Who’s Who	कौन है	कौन कौन है?	0.6324555320336759
Organisation Chart	संगठन चार्ट	संगठन चार्ट	0.9999999999999998
Administrative Setup	प्रशासनिक ढांचा	प्रशासनिक सेटअप	0.4999999999999999
Municipal Bodies	नगर निकाय	नगर पालिका	0.4999999999999999
Tehsil	तहसील	तहसील	1.0
Police	पुलिस	पुलिस	1.0
Map of District	जिले का मानचित्र	जिले का मानचित्र	1.0000000000000002
History	इतिहास	इतिहास	1.0
Demography	जनसांख्यिकी	जनसांख्यिकी	1.0
Directory	निर्देशिका	निर्देशिका	1.0
Disaster Management	आपदा प्रबंधन	आपदा प्रबंधन	0.9999999999999998
Helpline	हेल्पलाइन	हेल्पलाइन	1.0
STD & PIN Codes	एसटीडी और पिन कोड	एस०टी०डी० और पिन कोड	0.75
Public Utilities	सार्वजनिक उपयोग	सार्वजनिक सुविधाएं	0.4999999999999999
Banks	बैंक	बैंक	1.0
Colleges/Universities	कॉलेज / विश्वविद्यालय	कॉलेज / विश्वविद्यालय	1.0000000000000002
Hospitals	अस्पताल	अस्पताल	1.0
NGOs	गैर सरकारी संगठन	गैर सरकारी संगठन	1.0000000000000002
Schools	स्कूल	स्कूल	1.0
Departments	विभाग	विभाग	1.0
Animal Husbandry	पशुपालन	पशुपालन	1.0
Education	शिक्षा	शिक्षा	1.0
Health	स्वास्थ्य	स्वास्थ्य	1.0
Tourism	पर्यटन	पर्यटन	1.0
Places of Interest	ब्याज के स्थान	रुचि के स्थान	0.6666666666666667
Culture & Heritage	संस्कृति और विरासत	संस्कृति और विरासत	1.0000000000000002
Accommodation (Hotel/Resort/Dharamsala)	आवास ( होटल / रिसोर्ट / धर्मशाला )	आवास (होटल / रिसोर्ट / धर्मशाला)	0.6708203932499369
Tourist Places	पर्यटन स्थल	पर्यटक स्थल	0.4999999999999999
DEO Portal	डी.ई.ओ. पोर्टल	डी०ई०ओ० पोर्टल	0.4999999999999999
Documents	दस्तावेज़	दस्तावेज़	1.0
Census	जनगणना	जनगणना	1.0
